Country,Dystopia_residual
Afghanistan,1.793
Albania,1.461
Algeria,1.992
Argentina,2.096
Armenia,1.398
Australia,2.094
Austria,2.378
Azerbaijan,1.680
Bahrain,1.698
Bangladesh,1.406
Belarus,1.531
Belgium,2.235
Benin,3.049
Bhutan,1.350
Bolivia,2.376
Bosnia and Herzegovina,1.905
Botswana,0.183
Brazil,2.480
Bulgaria,1.195
Burkina Faso,2.275
Burundi,2.325
Cambodia,1.465
Cameroon,2.649
Canada,2.193
Central African Republic,2.456
Chad,2.591
Chile,2.397
China,1.466
Colombia,2.286
Comoros,1.941
Congo (Brazzaville),2.262
Congo (Kinshasa),2.308
Costa Rica,2.933
Croatia,1.660
Cyprus,1.880
Czech Republic,2.636
Denmark,2.393
Dominican Republic,1.519
Ecuador,2.225
Egypt,1.187
El Salvador,2.831
Estonia,1.496
Ethiopia,1.731
Finland,2.714
France,2.021
Gabon,1.596
Gambia,2.023
Georgia,1.662
Germany,2.150
Ghana,2.367
Greece,1.848
Guatemala,2.833
Guinea,2.325
Haiti,1.581
Honduras,2.323
Hong Kong,0.609
Hungary,2.020
Iceland,2.401
India,1.126
Indonesia,1.382
Iran,1.121
Iraq,1.362
Ireland,1.845
Israel,2.665
Italy,1.984
Ivory Coast,2.739
Jamaica,2.125
Japan,1.399
Jordan,1.406
Kazakhstan,1.746
Kenya,1.576
Kosovo,2.469
Kuwait,1.661
Kyrgyzstan,1.719
Laos,1.473
Latvia,2.073
Lebanon,1.762
Lesotho,1.417
Liberia,1.902
Libya,1.804
Lithuania,2.202
Luxembourg,1.954
Macedonia,1.595
Madagascar,1.831
Malawi,1.413
Malaysia,1.326
Mali,2.061
Malta,1.816
Mauritania,2.005
Mauritius,1.795
Mexico,2.761
Moldova,2.350
Mongolia,1.550
Montenegro,1.822
Morocco,2.314
Mozambique,2.058
Myanmar,0.652
Namibia,1.443
Nepal,1.751
Netherlands,2.393
New Zealand,2.127
Nicaragua,2.490
Niger,2.742
Nigeria,2.530
North Cyprus,1.390
Norway,2.241
Pakistan,2.924
Palestinian Territories,1.727
Panama,2.141
Paraguay,1.857
Peru,2.044
Philippines,2.092
Poland,2.003
Portugal,1.462
Qatar,1.565
Romania,2.302
Russia,1.839
Rwanda,0.467
Saudi Arabia,2.169
Senegal,2.009
Serbia,1.904
Sierra Leone,2.416
Singapore,0.807
Slovakia,2.097
Slovenia,1.618
Somalia,2.629
South Africa,1.369
South Korea,1.949
South Sudan,1.374
Spain,1.929
Sri Lanka,0.559
Swaziland,1.730
Sweden,2.246
Switzerland,2.272
Syria,1.541
Taiwan Province of China,2.045
Tajikistan,2.397
Tanzania,0.531
Thailand,1.777
Togo,2.273
Trinidad and Tobago,2.081
Tunisia,1.444
Turkey,1.636
Turkmenistan,1.334
Uganda,1.677
Ukraine,1.008
United Arab Emirates,2.145
United Kingdom,2.112
United States,2.266
Uruguay,2.014
Uzbekistan,1.951
Venezuela,1.250
Vietnam,1.474
Yemen,1.139
Zambia,1.280
Zimbabwe,1.149
